Mods count: 158
 
jar name                                                                               | mod id (isMCreator)                                      | mixin configs
        /META-INF/jars/porting_lib_gui_utils-2.3.13+1.20.1.jar                         | porting_lib_gui_utils                                    | porting_lib_gui_utils.mixins.json
        /META-INF/jars/porting_lib_transfer-2.3.13+1.20.1.jar                          | porting_lib_transfer                                     | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_config-2.3.13+1.20.1.jar                            | porting_lib_config                                       | porting_lib_config.mixins.json
        /META-INF/jars/porting_lib_attributes-2.3.13+1.20.1.jar                        | porting_lib_attributes                                   | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_common-2.3.13+1.20.1.jar                            | porting_lib_common                                       | porting_lib_common.mixins.json
        /META-INF/jars/core-3.6.6.jar                                                  | com_electronwill_night-config_core                       | 
        /META-INF/jars/porting_lib_extensions-2.3.13+1.20.1.jar                        | porting_lib_extensions                                   | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_mixin_extensions-2.3.13+1.20.1.jar                  | porting_lib_mixin_extensions                             | porting_lib_mixin_extensions.mixins.json
    /META-INF/jars/brewing-2.3.13+1.20.1.jar                                           | porting_lib_brewing                                      | porting_lib_brewing.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/client_events-2.3.13+1.20.1.jar                                     | porting_lib_client_events                                | porting_lib_client_events.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/core-3.6.3.jar                                                      | com_electronwill_night-config_core                       | 
    /META-INF/jars/entity-2.3.13+1.20.1.jar                                            | porting_lib_entity                                       | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
        /META-INF/jars/porting_lib_mixin_extensions-2.3.13+1.20.1.jar                  | porting_lib_mixin_extensions                             | porting_lib_mixin_extensions.mixins.json
    /META-INF/jars/extensions-2.3.13+1.20.1.jar                                        | porting_lib_extensions                                   | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.13+1.20.1.jar                         | porting_lib_accessors                                    | porting_lib_accessors.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                               | reach-entity-attributes                                  | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
        /META-INF/jars/porting_lib_attributes-2.3.13+1.20.1.jar                        | porting_lib_attributes                                   | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_common-2.3.13+1.20.1.jar                            | porting_lib_common                                       | porting_lib_common.mixins.json
    /META-INF/jars/flywheel-fabric-1.20.1-1.0.5-264.jar                                | flywheel                                                 | flywheel.impl.mixins.json, flywheel.impl.sodium.mixins.json, flywheel.backend.mixins.json, flywheel.impl.fabric.mixins.json
    /META-INF/jars/forgeconfigapiport-fabric-8.0.0.jar                                 | forgeconfigapiport                                       | forgeconfigapiport.common.mixins.json
    /META-INF/jars/jsr305-3.0.2.jar                                                    | com_google_code_findbugs_jsr305                          | 
    /META-INF/jars/milk-lib-1.2.60.jar                                                 | milk                                                     | milk.mixins.json
        /META-INF/jars/dripstone-fluid-lib-3.0.2.jar                                   | dripstone_fluid_lib                                      | dripstone_fluid_lib.mixins.json
    /META-INF/jars/model_generators-2.3.13+1.20.1.jar                                  | porting_lib_model_generators                             | porting_lib_model_generators.mixins.json
        /META-INF/jars/porting_lib_model_materials-2.3.13+1.20.1.jar                   | porting_lib_model_materials                              | porting_lib_model_materials.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
        /META-INF/jars/porting_lib_utility-2.3.13+1.20.1.jar                           | porting_lib_utility                                      | 
        /META-INF/jars/porting_lib_data-2.3.13+1.20.1.jar                              | porting_lib_data                                         | porting_lib_data.mixins.json
    /META-INF/jars/models-2.3.13+1.20.1.jar                                            | porting_lib_models                                       | porting_lib_models.mixins.json
        /META-INF/jars/porting_lib_model_loader-2.3.13+1.20.1.jar                      | porting_lib_model_loader                                 | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                            | porting_lib_fluids                                       | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
        /META-INF/jars/porting_lib_transfer-2.3.13+1.20.1.jar                          | porting_lib_transfer                                     | porting_lib_transfer.mixins.json
    /META-INF/jars/networking-2.3.13+1.20.1.jar                                        | porting_lib_networking                                   | 
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/obj_loader-2.3.13+1.20.1.jar                                        | porting_lib_obj_loader                                   | 
        /META-INF/jars/porting_lib_model_loader-2.3.13+1.20.1.jar                      | porting_lib_model_loader                                 | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                                   | reach-entity-attributes                                  | mixins.reach-entity-attributes.json
    /META-INF/jars/tags-2.3.13+1.20.1.jar                                              | porting_lib_tags                                         | porting_lib_tags.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/toml-3.6.3.jar                                                      | com_electronwill_night-config_toml                       | 
    /META-INF/jars/tool_actions-2.3.13+1.20.1.jar                                      | porting_lib_tool_actions                                 | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/transfer-2.3.13+1.20.1.jar                                          | porting_lib_transfer                                     | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                            | porting_lib_fluids                                       | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
create_copper_and_zinc-1.6.0-fabric-1.20.1.jar                                         | create_copper_and_zinc                                   | 
create_high_pressure-1.1.0.jar                                                         | create_high_pressure (MCreator mod)                      | create_high_pressure.mixins.json
create_jetpack-fabric-4.4.2.jar                                                        | create_jetpack                                           | 
    /META-INF/jars/flightlib-fabric-2.2.3.jar                                          | flightlib                                                | flightlib.mixins.json
create_ultimate_factory-2.1.0-fabric-1.20.1.jar                                        | create_ultimate_factory                                  | 
createaddition-fabric+1.20.1-1.3.4.jar                                                 | createaddition                                           | createaddition.mixins.json
    /META-INF/jars/energy-2.3.0.jar                                                    | team_reborn_energy                                       | 
CreateNumismatics-1.0.15+fabric-mc1.20.1.jar                                           | numismatics                                              | numismatics.mixins.json, numismatics-common.mixins.json
CreativeCore_FABRIC_v2.12.34_mc1.20.1.jar                                              | creativecore                                             | creativecore.fabric.mixins.json, creativecore.mixins.json, creativecore.mixins.refmap.json
    /META-INF/jars/eventbus-6.0.3.jar                                                  | net_minecraftforge_eventbus                              | 
cupboard-fabric-1.20.1-3.5.jar                                                         | cupboard                                                 | cupboard.mixins.json
CutThrough-v8.0.2-1.20.1-Fabric.jar                                                    | cutthrough                                               | cutthrough.common.mixins.json
diet-fabric-2.1.1+1.20.1.jar                                                           | diet                                                     | diet.mixins.json, diet.fabric.mixins.json
    /META-INF/jars/cardinal-components-base-5.2.1.jar                                  | cardinal-components-base                                 | 
    /META-INF/jars/cardinal-components-entity-5.2.1.jar                                | cardinal-components-entity                               | mixins.cardinal_components_entity.json
    /META-INF/jars/spectrelib-fabric-0.13.14+1.20.1.jar                                | spectrelib                                               | spectrelib.mixins.json
        /META-INF/jars/core-3.6.5.jar                                                  | com_electronwill_night-config_core                       | 
        /META-INF/jars/toml-3.6.5.jar                                                  | com_electronwill_night-config_toml                       | 
DistantHorizons-2.4.5-b-1.20.1-fabric-forge.jar                                        | distanthorizons                                          | DistantHorizons.forge.mixins.json, DistantHorizons.fabric.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.7+b3afc78b77.jar                           | fabric-screen-api-v1                                     | fabric-screen-api-v1.mixins.json
